data;stato;codice_regione;denominazione_regione;codice_geo;denominazione_geo;tipo_geo;lat;long;residenti;casi_positivi;in_isolamento_volontario;in_isolamento_domiciliare;usciti_da_isolamento;ricoverati_totale;di_cui_ricoverati_con_sintomi;di_cui_ricoverati_in_terapia_intensiva;attualmente_positivi;nuovi_positivi;tasso_positivi_x1000;sign_positivi_x1000;guariti;guariti_clinici;deceduti;tamponi_eseguiti;note;status;media_tasso_positivo;campoA;campoB;campoC;tamponi_antigenici
12/08/2021 10:00;ITA;10;Umbria;;Fuori Regione;Extra;;;;2481;;131;;5;5;;136;;;;2300;;45;;;;;;;;
12/08/2021 10:00;ITA;10;Umbria;54001;Assisi;Comune;43,08589643;12,6251397;28314;2286;;50;;2;2;;52;;;;2182;;52;;;;;;;;
12/08/2021 10:00;ITA;10;Umbria;54002;Bastia Umbra;Comune;43,06431705;12,52888235;21781;1953;;34;;2;2;;36;;;;1868;;49;;;;;;;;
12/08/2021 10:00;ITA;10;Umbria;54003;Bettona;Comune;43,00815595;12,4960495;4347;372;;4;;;;;4;;;;359;;9;;;;;;;;
12/08/2021 10:00;ITA;10;Umbria;54004;Bevagna;Comune;42,94509024;12,57909283;4955;372;;3;;;;;3;;;;364;;5;;;;;;;;
12/08/2021 10:00;ITA;10;Umbria;54005;Campello sul Clitunno;Comune;42,84483671;12,81984342;2354;114;;9;;;;;9;;;;102;;3;;;;;;;;
12/08/2021 10:00;ITA;10;Umbria;54006;Cannara;Comune;42,98886732;12,54774608;4355;373;;6;;;;;6;;;;361;;6;;;;;;;;
12/08/2021 10:00;ITA;10;Umbria;54007;Cascia;Comune;42,69934227;13,03953827;3099;164;;6;;;;;6;;;;154;;4;;;;;;;;
12/08/2021 10:00;ITA;10;Umbria;54008;Castel Ritaldi;Comune;42,82760916;12,66277655;3209;229;;1;;;;;1;;;;225;;3;;;;;;;;
12/08/2021 10:00;ITA;10;Umbria;54009;Castiglione del Lago;Comune;43,10461296;12,01666505;15423;686;;57;;;;;57;;;;612;;17;;;;;;;;
12/08/2021 10:00;ITA;10;Umbria;54010;Cerreto di Spoleto;Comune;42,81525952;12,9205619;1038;53;;;;;;;;;;;53;;;;;;;;;;
12/08/2021 10:00;ITA;10;Umbria;54011;Citerna;Comune;43,50895095;12,12786868;3432;242;;21;;;;;21;;;;217;;4;;;;;;;;
12/08/2021 10:00;ITA;10;Umbria;54012;Città della Pieve;Comune;42,95301607;11,99767211;7709;381;;16;;;;;16;;;;351;;14;;;;;;;;
12/08/2021 10:00;ITA;10;Umbria;54013;Città di Castello;Comune;43,44428895;12,24860738;39439;3122;;123;;4;4;;127;;;;2920;;75;;;;;;;;
12/08/2021 10:00;ITA;10;Umbria;54014;Collazzone;Comune;42,91437459;12,42695783;3448;218;;7;;;;;7;;;;206;;5;;;;;;;;
12/08/2021 10:00;ITA;10;Umbria;54015;Corciano;Comune;43,12878249;12,29049907;21391;1568;;65;;;;;65;;;;1476;;27;;;;;;;;
12/08/2021 10:00;ITA;10;Umbria;54016;Costacciaro;Comune;43,36754898;12,70081566;1159;37;;2;;;;;2;;;;32;;3;;;;;;;;
12/08/2021 10:00;ITA;10;Umbria;54017;Deruta;Comune;42,98181842;12,41502353;9705;596;;19;;;;;19;;;;559;;18;;;;;;;;
12/08/2021 10:00;ITA;10;Umbria;54018;Foligno;Comune;42,97669136;12,79092332;57059;4272;;72;;1;1;;73;;;;4103;;96;;;;;;;;
12/08/2021 10:00;ITA;10;Umbria;54019;Fossato di Vico;Comune;43,30180214;12,76210318;2708;121;;7;;;;;7;;;;112;;2;;;;;;;;
12/08/2021 10:00;ITA;10;Umbria;54020;Fratta Todina;Comune;42,87060319;12,35605203;1855;100;;4;;;;;4;;;;94;;2;;;;;;;;
12/08/2021 10:00;ITA;10;Umbria;54021;Giano dell'Umbria;Comune;42,83875534;12,57701313;3858;291;;5;;;;;5;;;;279;;7;;;;;;;;
12/08/2021 10:00;ITA;10;Umbria;54022;Gualdo Cattaneo;Comune;42,89447753;12,50923447;5892;339;;12;;;;;12;;;;320;;7;;;;;;;;
12/08/2021 10:00;ITA;10;Umbria;54023;Gualdo Tadino;Comune;43,2281698;12,7545938;14949;929;;23;;;;;23;;;;888;;18;;;;;;;;
12/08/2021 10:00;ITA;10;Umbria;54024;Gubbio;Comune;43,33103284;12,54649307;31547;2261;;75;;1;1;;76;;;;2143;;42;;;;;;;;
12/08/2021 10:00;ITA;10;Umbria;54025;Lisciano Niccone;Comune;43,24235306;12,16080959;602;32;;1;;;;;1;;;;31;;;;;;;;;;
12/08/2021 10:00;ITA;10;Umbria;54026;Magione;Comune;43,1255807;12,20312095;14802;1057;;50;;;;;50;;;;973;;34;;;;;;;;
12/08/2021 10:00;ITA;10;Umbria;54027;Marsciano;Comune;42,9616861;12,30720591;18574;1231;;52;;;;;52;;;;1136;;43;;;;;;;;
12/08/2021 10:00;ITA;10;Umbria;54028;Massa Martana;Comune;42,77323818;12,53326574;3673;128;;1;;;;;1;;;;124;;3;;;;;;;;
12/08/2021 10:00;ITA;10;Umbria;54029;Monte Castello di Vibio;Comune;42,82652001;12,3433759;1514;63;;5;;;;;5;;;;57;;1;;;;;;;;
12/08/2021 10:00;ITA;10;Umbria;54030;Montefalco;Comune;42,88041298;12,64717321;5535;417;;4;;1;1;;5;;;;403;;9;;;;;;;;
12/08/2021 10:00;ITA;10;Umbria;54031;Monteleone di Spoleto;Comune;42,64251798;12,94617674;582;8;;;;;;;;;;;8;;;;;;;;;;
12/08/2021 10:00;ITA;10;Umbria;54032;Monte Santa Maria Tiberina;Comune;43,4278116;12,12950793;1156;85;;3;;;;;3;;;;80;;2;;;;;;;;
